,City Name,Package,Variety,Date,Low Price,High Price,Mostly Low,Mostly High,Origin,Item Size,Color,Repack,Year,Month,Average Price
0,1,5,4,2017-04-29,270.0,280.0,270.0,280.0,8,2,0,0,2017,4,275.0
1,1,5,4,2017-05-06,270.0,280.0,270.0,280.0,8,2,0,0,2017,5,275.0
2,1,5,4,2016-09-24,160.0,160.0,160.0,160.0,4,3,0,1,2016,9,160.0
3,1,5,4,2016-09-24,160.0,160.0,160.0,160.0,22,3,0,1,2016,9,160.0
4,1,5,4,2016-11-05,90.0,100.0,90.0,100.0,8,2,0,1,2016,11,95.0
5,1,5,4,2016-11-12,90.0,100.0,90.0,100.0,8,2,0,1,2016,11,95.0
6,1,7,4,2016-09-24,160.0,170.0,160.0,170.0,8,3,0,1,2016,9,165.0
7,1,7,4,2016-09-24,160.0,160.0,160.0,160.0,18,2,0,1,2016,9,160.0
8,1,7,4,2016-10-01,160.0,170.0,160.0,170.0,8,3,0,1,2016,10,165.0
9,1,7,4,2016-10-01,160.0,160.0,160.0,160.0,18,2,0,1,2016,10,160.0
10,1,7,4,2016-10-08,160.0,170.0,160.0,170.0,8,3,0,1,2016,10,165.0
11,1,7,4,2016-10-08,160.0,160.0,160.0,160.0,18,2,0,1,2016,10,160.0
12,1,7,4,2016-10-15,150.0,160.0,150.0,160.0,8,2,0,1,2016,10,155.0
13,1,7,4,2016-10-15,150.0,170.0,150.0,170.0,8,3,0,1,2016,10,160.0
14,1,7,4,2016-10-22,150.0,160.0,150.0,160.0,8,2,0,1,2016,10,155.0
15,1,7,4,2016-10-22,140.0,160.0,140.0,160.0,8,3,0,1,2016,10,150.0
16,1,7,4,2016-10-29,100.0,160.0,100.0,160.0,8,2,0,1,2016,10,130.0
17,1,7,4,2016-10-29,130.0,160.0,130.0,160.0,8,3,0,1,2016,10,145.0
18,1,7,4,2016-10-29,130.0,130.0,130.0,130.0,8,5,0,1,2016,10,130.0
19,1,7,4,2016-11-05,120.0,130.0,120.0,130.0,8,6,0,1,2016,11,125.0
20,1,7,4,2016-11-05,100.0,130.0,100.0,130.0,8,2,0,1,2016,11,115.0
21,1,7,4,2016-11-05,90.0,100.0,90.0,100.0,8,3,0,1,2016,11,95.0
22,1,7,4,2016-11-12,100.0,120.0,100.0,100.0,8,2,0,1,2016,11,110.0
23,1,7,4,2017-09-16,160.0,160.0,160.0,160.0,8,4,0,1,2017,9,160.0
24,1,7,4,2017-09-23,160.0,160.0,160.0,160.0,8,4,0,1,2017,9,160.0
25,1,7,4,2017-09-30,150.0,160.0,150.0,160.0,8,2,0,1,2017,9,155.0
26,1,7,4,2017-09-30,150.0,160.0,150.0,160.0,8,4,0,1,2017,9,155.0
27,1,5,5,2017-09-23,160.0,180.0,160.0,180.0,8,3,0,1,2017,9,170.0
